DY
996
36
Sp11; Sp12; Sp13; Sp14; Sp15; Sp16; Sp17; Sp18; Sp19; Sp21; Sp22; Sp23; Sp24; Sp25; Sp26; Sp27; Sp28; Sp29; Sp31; Sp32; Sp33; Sp34; Sp35; Sp36; Sp37; Sp38; Sp39; Sp41; Sp42; Sp43; Sp44; Sp45; Sp46; Sp47; Sp48; Sp49
1;0.8360;0.7999;0.7710;0.4872;0.7049;0.6818;0.5895;0.3906;0.7049;0.7373;0.5474;0.4219;0.9835;0.9603;0.8695;0.5897;0.9106;0.8252;0.7469;0.3739;0.7678;0.7378;0.6000;0.4160;0.9999;0.9509;0.9309;0.5833;0.8392;0.9292;0.8210;0.5547;0.7777;0.7722;0.6631;0.4531;3
2;0.7049;0.6818;0.6024;0.3590;0.7049;0.6818;0.5474;0.4219;0.6393;0.7373;0.5474;0.3906;0.8360;0.8217;0.7065;0.4359;0.7678;0.7378;0.5783;0.3392;0.7678;0.6990;0.6000;0.3920;0.7704;0.9019;0.8620;0.5500;0.7678;0.7878;0.6631;0.4531;0.7777;0.6930;0.5684;0.3906;3
3;0.7049;0.6818;0.5542;0.3932;0.6393;0.6818;0.5474;0.3906;0.7049;0.6565;0.5474;0.3906;0.7049;0.7326;0.5543;0.4017;0.7678;0.6990;0.5783;0.3131;0.7678;0.6990;0.6000;0.4160;0.7049;0.7647;0.6896;0.4417;0.7678;0.7070;0.5684;0.3906;0.7777;0.6930;0.5684;0.3906;3
4;0.6393;0.6818;0.5542;0.3590;0.7049;0.6091;0.5474;0.3906;0.6393;0.6565;0.5053;0.3672;0.7049;0.6930;0.5543;0.3761;0.7678;0.6990;0.5783;0.3392;0.6250;0.6990;0.6000;0.4160;0.7049;0.6862;0.5862;0.3750;0.7678;0.7070;0.5684;0.3906;0.7777;0.7326;0.5684;0.3906;3
5;0.7049;0.6091;0.5542;0.3590;0.6393;0.6091;0.5053;0.3672;0.6393;0.7373;0.5474;0.3906;0.7049;0.6930;0.5543;0.4017;0.6250;0.6990;0.5783;0.3392;0.6250;0.6990;0.6444;0.4480;0.7049;0.6862;0.5862;0.3750;0.7678;0.7474;0.5684;0.3906;0.6851;0.7722;0.6210;0.4531;3
6;0.6393;0.6091;0.5060;0.3334;0.6393;0.6818;0.5474;0.3906;0.5738;0.7373;0.5474;0.3906;0.5738;0.6930;0.5543;0.4017;0.6250;0.6990;0.6265;0.3739;0.6250;0.7378;0.7555;0.4720;0.7049;0.7254;0.5862;0.3750;0.6785;0.7878;0.6210;0.4531;0.6851;0.7722;0.6210;0.4531;3
7;0.5738;0.6818;0.6024;0.3932;0.5738;0.6818;0.5895;0.4531;0.6393;0.6969;0.5895;0.3906;0.6393;0.7722;0.7065;0.4615;0.6964;0.8252;0.7469;0.4000;0.6964;0.7766;0.7000;0.4480;0.6229;0.7647;0.6896;0.4417;0.6785;0.7474;0.5684;0.4219;0.6851;0.7326;0.5684;0.3906;3
8;0.5738;0.6818;0.6024;0.4274;0.6393;0.6454;0.5895;0.3906;0.5738;0.6565;0.5474;0.3672;0.6393;0.8217;0.7065;0.4615;0.6964;0.7766;0.6867;0.3739;0.6964;0.6602;0.5555;0.3920;0.6229;0.7254;0.5862;0.4084;0.6785;0.7474;0.5684;0.3906;0.6851;0.6534;0.5263;0.3906;3
9;0.5738;0.6091;0.5060;0.3334;0.5738;0.6454;0.5474;0.3360;0.5738;0.6565;0.4211;0.3672;0.5738;0.6138;0.5543;0.3419;0.6250;0.6602;0.5301;0.3131;0.6250;0.6213;0.5555;0.3600;0.5574;0.6078;0.4943;0.3084;0.6785;0.5858;0.4526;0.3282;0.6851;0.5742;0.4526;0.2969;4
10;0.5738;0.6454;0.5542;0.2992;0.5738;0.6091;0.4211;0.3672;0.5738;0.6060;0.4632;0.3672;0.5738;0.6534;0.5109;0.3761;0.6250;0.6213;0.5301;0.2783;0.6250;0.5825;0.5555;0.3600;0.6229;0.5686;0.4598;0.3084;0.6785;0.5858;0.4526;0.2969;0.6111;0.5742;0.4842;0.3282;4
11;0.5082;0.6091;0.4097;0.2992;0.5082;0.5636;0.4632;0.3672;0.5082;0.6060;0.5053;0.3672;0.5738;0.5742;0.4131;0.3419;0.6250;0.5825;0.4217;0.2174;0.5357;0.5825;0.4111;0.3280;0.5574;0.6078;0.4943;0.3084;0.6071;0.5858;0.4526;0.2969;0.5370;0.5742;0.4105;0.2969;4
